q1g,q2g,q3g
-2.568887951986527640e-01,-1.045255979157159593e-01,1.619353382748531245e-01
-2.565049896375017346e-01,-1.052151458745932688e-01,1.622856135517141141e-01
-2.564656303501484658e-01,-1.051044765531254643e-01,1.626184916022818672e-01
-2.567356387353483815e-01,-1.043970030720708653e-01,1.625586270909096520e-01
-2.570812146711036195e-01,-1.036155378730238275e-01,1.623047276514504589e-01
-2.572696019109080856e-01,-1.032941747450250997e-01,1.621095062909363171e-01
-2.572233212222770349e-01,-1.037635071651088620e-01,1.616775663069985047e-01
-2.569486274780041213e-01,-1.051181717441665164e-01,1.606012400905417192e-01
-2.564118987883298728e-01,-1.071829843587023406e-01,1.593249903463804240e-01
-2.555802845962134029e-01,-1.094600756064104813e-01,1.591953704101947975e-01
-2.545327009678799990e-01,-1.113518016673510219e-01,1.612689512836157912e-01
-2.534903185180485963e-01,-1.125266151317823454e-01,1.651156219956322335e-01
-2.527490725295283291e-01,-1.129921140627003773e-01,1.689358593705823641e-01
-2.525373525360312121e-01,-1.128824158304898573e-01,1.709682516947010067e-01
-2.528288529196067169e-01,-1.124022402775563950e-01,1.708208801933278620e-01
-2.533048241385008614e-01,-1.119090561914166670e-01,1.694455596641910866e-01
-2.536004437797672595e-01,-1.117273857718613095e-01,1.680199904121149057e-01
-2.536362702781043144e-01,-1.117468725301352522e-01,1.670773980487571531e-01
-2.536446800019953041e-01,-1.114466000219270503e-01,1.665699467419403113e-01
-2.538428433868135103e-01,-1.105277418086606095e-01,1.663528175346998539e-01
-2.541619317523278188e-01,-1.093649627157042559e-01,1.664355894350875720e-01
-2.543520927543226340e-01,-1.086736799480669396e-01,1.668296292074119280e-01
-2.542792002078325675e-01,-1.088383800931521928e-01,1.672727917595217828e-01
-2.540301341612792307e-01,-1.096570457592359188e-01,1.673574237048165991e-01
-2.537762857535662553e-01,-1.105550581934110765e-01,1.671134299365956977e-01
-2.536282417396393263e-01,-1.109647326496934205e-01,1.671410096485593244e-01
-2.536347003144740486e-01,-1.106537039372182951e-01,1.678007022039669782e-01
-2.538280831033995488e-01,-1.098413419923794238e-01,1.685674047968102052e-01
-2.541702776857883150e-01,-1.090388855351982350e-01,1.686406063277476886e-01
-2.544531236765229520e-01,-1.088092089808026797e-01,1.679662786531064544e-01
-2.543621402156872602e-01,-1.095678962827012215e-01,1.672363540105429314e-01
-2.537277733542878666e-01,-1.113658218513153830e-01,1.670359646548386645e-01
-2.527035581019627664e-01,-1.137714274894500027e-01,1.673279074483685624e-01
-2.516741968091784076e-01,-1.160535573713356305e-01,1.677013620250075443e-01
-2.509638947293785782e-01,-1.176109125968331504e-01,1.679401741818057903e-01
-2.506108447815856288e-01,-1.182909314120150907e-01,1.683296510589710193e-01
-2.504284124491552022e-01,-1.183153243369686330e-01,1.693576138429935263e-01
-2.502913049938382262e-01,-1.178973944187560324e-01,1.710671932302151588e-01
-2.502582610405839070e-01,-1.170826306780875098e-01,1.728961190454521291e-01
-2.503782936033878692e-01,-1.160232139660602457e-01,1.742610685485106170e-01
-2.505152324071145964e-01,-1.151875434628709810e-01,1.750639288148078676e-01
-2.504692922135551281e-01,-1.150458227475486123e-01,1.755455162323455998e-01
-2.501753497451686403e-01,-1.156249909734102244e-01,1.759552030726794503e-01
-2.497394619514793357e-01,-1.164731082248070954e-01,1.764674794269963654e-01
-2.493623473404956159e-01,-1.170189621616347098e-01,1.771132940455424631e-01
-2.492186290631719647e-01,-1.169447820378464314e-01,1.777650205866638522e-01
-2.493113203976067005e-01,-1.163465181029342960e-01,1.783682001313361409e-01
-2.494493479327305474e-01,-1.156265160979296769e-01,1.790970887111641152e-01
-2.494491285630747734e-01,-1.151626445563891099e-01,1.800908515762348061e-01
-2.493299944476766450e-01,-1.150010347870331628e-01,1.812176774393036149e-01
-2.492920676978392924e-01,-1.148011144359057378e-01,1.822317917062203640e-01
-2.495461483490599708e-01,-1.140842924740438774e-01,1.829927739804928788e-01
-2.501687283533133299e-01,-1.126202589222046885e-01,1.834164186203252334e-01
-2.510373971270926652e-01,-1.106664080904367631e-01,1.834151346069113619e-01
-2.518608749121834522e-01,-1.088760674269441953e-01,1.830120653546780107e-01
-2.523065499858259120e-01,-1.079376056298995412e-01,1.824693132642670745e-01
-2.521943361197671596e-01,-1.081493258901565502e-01,1.821819740987790093e-01
-2.516456955536962026e-01,-1.092212457866024722e-01,1.822951785647956291e-01
-2.510193337623014553e-01,-1.105022905692618906e-01,1.824766560013103833e-01
-2.506135588158872052e-01,-1.114700999518864200e-01,1.823184163810114278e-01
-2.503939645521005564e-01,-1.121102933719901745e-01,1.819153606303142712e-01
-2.500819750393105112e-01,-1.128429818480783803e-01,1.817223559146686485e-01
-2.495495469208178496e-01,-1.139495750455863099e-01,1.819305319070023685e-01
-2.490461887398781327e-01,-1.150649628829653326e-01,1.823298697180607275e-01
-2.489143042765291358e-01,-1.155445518079364631e-01,1.826941453479034583e-01
-2.491457347541171929e-01,-1.153327137248538192e-01,1.829837938412340326e-01
-2.493586323213169142e-01,-1.151175797127774181e-01,1.832129247796285554e-01
-2.492057876001289862e-01,-1.155475636453807547e-01,1.833155663669661095e-01
-2.486716976042864791e-01,-1.166177543426332591e-01,1.832007586172607061e-01
-2.479647503276722897e-01,-1.178904255398526835e-01,1.829290448322204998e-01
-2.472682924700934648e-01,-1.189905061015511800e-01,1.828122116631437089e-01
